,,Category,Category,Groups,Groups,Groups,Groups,Groups,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Subgroup,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature
type,GreenIndex,Energy Efficiency,Energy Production,Heating & Cooling,Building Envelope,Appliances & Lighting,Water Heating,Energy Production,Heating System,Heating Distribution,,Passive Solar Feature,Supporting Features,Insulation - Attic/Ceiling,Insulation - Exterior Walls,Insulation - Foundation,Doors,Windows,Building Airtightness,Laundry,Kitchen,Living,Solar Lighting,Electric Lighting,Water Heater,Heat Recovery,Existing,Heat Pump - Geothermal,Electric Thermal Storage,Heat Pump - Air to air,Heat Pump - Air to water,Heat Pump - Mini Split,High Efficient Furnace,High Efficiency Pellet Stove,High Efficient Woodstove or Fireplace,Solar Air Heater,Solar Hot Water for Space Heating,In-floor electric,Heat Recovery Ventilation (HRV),In-floor hydronic,,Sunroom,Smart Thermostats,Attic/ Ceiling 1,Attic/ Ceiling 2,Main Walls 1,Main Walls 2,Main Walls 3,Basement/ Foundation 1,Basement/ Foundation 2,Doors Energy Star®,Doors Insulated ,Windows Energy Star®,Windows Double Pane,Windows Triple pane,Airtightness,Washer Energy Star®,Dryer Energy Star® Electric/Gas,Refrigerator Energy Star®,Central Vacuum Energy Star®,Sun Exposure,Energy Efficienct Light Bulbs,Heat Pump Water Heater,Water Heater Energy Star®,Hot Water Tank Wrap/Blanket,Low Flow Showerhead or faucet aerator,Drain-water heat recovery > 1m,Drain-water heat recovery < 1m,Solar PV,Wind-turbine,Hydroelectric,Solar Hot Water System
std_weight,100.0%,53.0%,7.0%,33.3%,44.3%,3.0%,19.3%,100.0%,84.5%,0.0%,,0.0%,15.5%,23.1%,24.0%,22.0%,0.9%,10.0%,20.0%,27.0%,23.0%,0.0%,30.0%,20.0%,80.0%,20.0%,100.0%,,,,,83.0%,,,,,,,11.2%,,,,5.8%,23.5%,,24.6%,,,23.0%,,0.9%,,4.0%,,,24.0%,20.0%,20.0%,20.0%,,20.0%,20.0%,50.0%,,,,50.0%,,70.0%,,,30.0%
std_points,150,79.5,10.5,26.50,35.24,2.39,15.37,10.50,24.96,0.00,0.00,0.00,1.54,8.28,8.67,8.11,0.32,1.41,8.46,0.95,0.48,0.00,0.48,0.48,7.68,7.68,10.50,,,,,21.99,,,,,,,2.97,,0.00,,1.54,8.28,,8.67,,,8.11,,0.32,,1.41,,,8.46,0.48,0.48,0.48,,0.48,0.48,7.68,,,,7.68,,7.35,,,3.15
alt_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0%,45.0%,75.0%,75.0%,,60.0%,62.0%,69.0%,,60.0%,10.0%,,,,,,,23.5%,,24.6%,24.6%,,22.0%,,0.5%,,,,,,,,,,,,35.0%,,,,35.0%,,70.0%,70.0%,
alt_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.99,11.92,19.87,19.87,,15.90,16.43,18.28,,15.90,2.65,,,,,,,8.28,,8.67,8.67,,7.75,,0.18,,,,,,,,,,,,5.38,,,,5.38,,7.35,7.35,
b_weight,100.0%,35.0%,0.0%,28.0%,14.0%,48.0%,10.0%,0.0%,17.5%,53.2%,,29.3%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,80.0%,20.0%,0.0%,0.0%,100.0%,0.0%,0.0%,,,,,,,,,17.5%,,,,53.2%,,29.3%,,,,,,,,,,,,,100.0%,,,,,15.0%,,,,,37.5%,62.5%,,,,,,
b_points,25,8.8,0.0,2.45,1.23,4.20,0.88,0.00,0.43,1.30,0.00,0.72,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,3.57,0.63,0.00,0.00,0.88,0.00,0.00,,,,,,,,,0.43,,,,1.30,,0.72,,,,,,,,,,,,,1.23,,,,,0.63,,,,,0.33,0.55,,,,,,
